;spell;feels_bad_man;feels_bad_man
87;{'name': 'Lightning Bolt', 'description': 'Calls down a bolt of lightning to strike an enemy unit, causing damage and a mini-stun. When cast, Lightning Bolt briefly provides unobstructed vision and True Sight around the target in a 750 radius. Can be cast on the ground, affecting the closest enemy hero in 325 range.',  'attributes': [, {'name': 'AFFECTS', 'value': 'Enemy Units'}, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '125 / 200 / 275 / 350SIGHT RADIUS: 750'}, {'name': 'SIGHT DURATION', 'value': '4.5'}, , ]};10;{'name': 'COOLDOWN', 'value': '6'};{'name': 'MANA COST', 'value': '90/105/120/135'}
88;{'name': 'Static Field', 'description': 'Zeus shocks any enemy hit by his abilities, causing damage proportional to their current health.',  'attributes': [, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0'}, , ]};1;{'name': 'COOLDOWN', 'value': '0'};{'name': 'MANA COST', 'value': '0/0/0/0'}
89;{'name': ''Thundergod's Wrath'', 'description': ''Strikes all enemy heroes with a bolt of lightning, no matter where they may be.  Thundergod's Wrath also provides True Sight around each hero struck.  If an enemy hero is invisible, it takes no damage, but the True Sight is still created at that hero's location.'',  'attributes': [, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0TRUE SIGHT RADIUS: 500'}, {'name': 'DURATION', 'value': '3 / 3 / 3 / 3'}, {'name': 'DAMAGE', 'value': '250 / 350 / 450'}, , ]};3;{'name': 'COOLDOWN', 'value': '90'};{'name': 'MANA COST', 'value': '250/350/450'}
90;{'name': 'Torrent', 'description': 'Summons a rising torrent that, after a short delay, hurls enemy units into the sky, stunning, dealing damage and slowing movement speed.',  'attributes': [, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0MOVE SLOW: 35%'}, {'name': 'SLOW DURATION', 'value': '1 / 2 / 3 / 4'}, {'name': 'STUN DURATION', 'value': '1.6'}, {'name': 'DELAY', 'value': '1.6 / 1.6 / 1.6 / 1.6'}, , ]};2;{'name': 'COOLDOWN', 'value': '16/14/12/10'};{'name': 'MANA COST', 'value': '90/100/110/120'}
91;{'name': 'Tidebringer', 'description': ''Kunkka's legendary sword grants increased damage and cleaves a large area of effect in front of him for a single strike.'',  'attributes': [, {'name': 'AFFECTS', 'value': 'Enemy Units'}, {'name': 'DAMAGE TYPE', 'value': 'Physical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'Yes'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0CLEAVE RANGE: 650 / 800 / 950 / 1100'}, , ]};7;{'name': 'COOLDOWN', 'value': '13/10/7/4'};{'name': 'MANA COST', 'value': '0/0/0/0'}
92;{'name': 'X Marks the Spot', 'description': 'Targets a friendly or enemy Hero, marks their position with an X, and returns them to it after several seconds.  Kunkka can trigger the return at any time during the duration. Lasts twice as long on allied heroes.',  'attributes': [, {'name': 'AFFECTS', 'value': 'Heroes'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0ENEMY DELAY: 4'}, {'name': 'ALLIED DELAY', 'value': '8'}, , ]};4;{'name': 'COOLDOWN', 'value': '38/30/22/14'};{'name': 'MANA COST', 'value': '50'}
93;{'name': 'Ghostship', 'description': ''Summons a ghostly ship that sails through the battle before smashing apart, damaging and stunning all enemies caught near the wreckage. Allied heroes touched by the Ghostship are given a swig of The Admiral's Rum, receiving bonus movement speed and a delayed reaction to incoming damage.'',  'attributes': [, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '400 / 500 / 600IMPACT DELAY: 3.1'}, {'name': 'RANGE', 'value': '2000'}, {'name': 'WIDTH', 'value': '425 / 425 / 425'}, {'name': 'RUM BONUS SPEED', 'value': '10% / 10% / 10%'}, {'name': 'RUM DURATION', 'value': '10'}, {'name': 'STUN DURATION', 'value': '1.4 / 1.4 / 1.4'}, {'name': 'DAMAGE DELAYED', 'value': '40%'}, , ]};2;{'name': 'COOLDOWN', 'value': '80/70/60'};{'name': 'MANA COST', 'value': '125/175/225'}
94;{'name': 'Dragon Slave', 'description': 'Lina channels the breath of a dragon, sending out a wave of fire that scorches every enemy in its path.',  'attributes': [, {'name': 'AFFECTS', 'value': 'Enemy Units'}, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '85 / 160 / 235 / 310'}, , ]};10;{'name': 'COOLDOWN', 'value': '8'};{'name': 'MANA COST', 'value': '100/115/130/145'}
95;{'name': 'Light Strike Array', 'description': 'Summons a column of flames that damages and stuns enemies.',  'attributes': [, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0RADIUS: 225'}, {'name': 'CAST DELAY', 'value': '0.5'}, {'name': 'STUN DURATION', 'value': '1.6 / 1.9 / 2.2 / 2.5'}, , ]};2;{'name': 'COOLDOWN', 'value': '7'};{'name': 'MANA COST', 'value': '100/110/120/130'}
96;{'name': 'Fiery Soul', 'description': 'Grants bonus attack and movement speed each time Lina casts a spell. Stacks with itself. Lasts 10 seconds.',  'attributes': [, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0MAX STACKS: 3'}, {'name': 'DURATION', 'value': '10'}, , ]};1;{'name': 'COOLDOWN', 'value': '0'};{'name': 'MANA COST', 'value': '0/0/0/0'}
97;{'name': 'Laguna Blade', 'description': 'Fires off a bolt of lightning at a single enemy unit, dealing massive damage.',  'attributes': [, {'name': 'AFFECTS', 'value': 'Enemy Units'}, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0DAMAGE: 450 / 650 / 850'}, , ]};4;{'name': 'COOLDOWN', 'value': '70/60/50'};{'name': 'MANA COST', 'value': '280/420/680'}
98;{'name': 'Earth Spike', 'description': 'Rock spikes burst from the earth along a straight path. Enemy units are hurled into the air, then are stunned and take damage when they fall.',  'attributes': [, {'name': 'AFFECTS', 'value': 'Enemy Units'}, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '80 / 140 / 200 / 260STUN DURATION: 1.4 / 1.8 / 2.2 / 2.6'}, , ]};10;{'name': 'COOLDOWN', 'value': '12'};{'name': 'MANA COST', 'value': '70/100/130/160'}
99;{'name': 'Hex', 'description': 'Transforms an enemy unit into a harmless beast, with all special abilities disabled.',  'attributes': [, {'name': 'AFFECTS', 'value': 'Enemy Units'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0DURATION: 2.5 / 3 / 3.5 / 4'}, , ]};4;{'name': 'COOLDOWN', 'value': '30/24/18/12'};{'name': 'MANA COST', 'value': '125/150/175/200'}
100;{'name': 'Mana Drain', 'description': 'CHANNELED - Absorbs the magical energies of a target enemy unit by taking mana from it every second.',  'attributes': [, {'name': 'AFFECTS', 'value': 'Enemy Units'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0CHANNEL TIME: 5'}, {'name': 'MANA PER SECOND', 'value': '20 / 40 / 60 / 120'}, {'name': 'BREAK DISTANCE', 'value': '1200'}, {'name': 'MOVEMENT SLOW', 'value': '20% / 25% / 30% / 35%'}, , ]};5;{'name': 'COOLDOWN', 'value': '16/12/8/4'};{'name': 'MANA COST', 'value': '10/10/10/10'}
101;{'name': 'Finger of Death', 'description': 'Rips at an enemy unit, trying to turn it inside-out. Deals massive damage and grows stronger with each life it consumes.',  'attributes': [, {'name': 'AFFECTS', 'value': 'Enemy Units'}, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0'}, , ]};4;{'name': 'COOLDOWN', 'value': '160/100/40'};{'name': 'MANA COST', 'value': '200/420/650'}
102;{'name': 'Ether Shock', 'description': 'Creates a cone of ethereal energy that strikes multiple enemy units.',  'attributes': [, {'name': 'AFFECTS', 'value': 'Enemy Units'}, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0TARGETS: 1 / 3 / 5 / 7'}, , ]};4;{'name': 'COOLDOWN', 'value': '14/12/10/8'};{'name': 'MANA COST', 'value': '100/120/140/160'}
103;{'name': 'Hex', 'description': 'Transforms an enemy unit into a harmless creature, disabling their attacks and abilities.',  'attributes': [, {'name': 'AFFECTS', 'value': 'Enemy Units'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0DURATION: 1.25 / 2 / 2.75 / 3.5'}, , ]};4;{'name': 'COOLDOWN', 'value': '13'};{'name': 'MANA COST', 'value': '70/110/150/190'}
104;{'name': 'Shackles', 'description': 'CHANNELED - Magically binds an enemy unit so that it cannot move or attack, while dealing damage over time.',  'attributes': [, {'name': 'AFFECTS', 'value': 'Enemy Units'}, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0TOTAL DAMAGE: 60 / 160 / 260 / 360'}, , ]};5;{'name': 'COOLDOWN', 'value': '16/14/12/10'};{'name': 'MANA COST', 'value': '140/150/160/170'}
105;{'name': 'Mass Serpent Ward', 'description': 'Summons 10 Serpent Wards to attack enemy units and structures. The Wards are immune to magic.',  'attributes': [, {'name': 'DAMAGE TYPE', 'value': 'Physical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'Yes'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0DURATION: 45 / 45 / 45'}, , ]};2;{'name': 'COOLDOWN', 'value': '120'};{'name': 'MANA COST', 'value': '200/350/600'}
106;{'name': 'Guardian Sprint', 'description': 'Slardar slithers ahead, moving significantly faster and passing through units. Slardar has unlocked max speed and grants movement speed while in the river.',  'attributes': [, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0BONUS MOVE SPEED: 20% / 28% / 36% / 44%'}, {'name': 'DURATION', 'value': '10'}, {'name': 'BONUS RIVER MOVE SPEED', 'value': '25% / 48% / 66% / 94%'}, , ]};3;{'name': 'COOLDOWN', 'value': '17'};{'name': 'MANA COST', 'value': '0/0/0/0'}
107;{'name': 'Slithereen Crush', 'description': 'Slams the ground, stunning and damaging nearby enemy land units.  After the stun, the affected units are slowed.',  'attributes': [, {'name': 'DAMAGE TYPE', 'value': 'Physical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '80 / 140 / 200 / 260RADIUS: 350'}, {'name': 'MOVEMENT SLOW', 'value': '20% / 25% / 30% / 35%'}, {'name': 'ATTACK SLOW', 'value': '20 / 25 / 30 / 35'}, {'name': 'SLOW DURATION', 'value': '3 / 4 / 5 / 6'}, , ]};3;{'name': 'COOLDOWN', 'value': '8'};{'name': 'MANA COST', 'value': '80/95/105/115'}
108;{'name': 'Bash of the Deep', 'description': 'After 3 attacks, your next attack will bash the target.',  'attributes': [, {'name': 'DAMAGE TYPE', 'value': 'Physical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'Yes'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0BASH DURATION: 1 / 1.1 / 1.2 / 1.3'}, , ]};1;{'name': 'COOLDOWN', 'value': '0'};{'name': 'MANA COST', 'value': '0/0/0/0'}
109;{'name': 'Corrosive Haze', 'description': 'Reduces enemy armor to amplify physical damage and provides True Sight and vision of the targeted unit, revealing invisibility.',  'attributes': [, {'name': 'AFFECTS', 'value': 'Enemy Units'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'Yes'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0ARMOR REDUCTION: 10 / 15 / 20'}, {'name': 'DURATION', 'value': '18'}, , ]};4;{'name': 'COOLDOWN', 'value': '5'};{'name': 'MANA COST', 'value': '25'}
110;{'name': 'Gush', 'description': 'Summons a gush of water to damage an enemy unit, reducing their movement speed and armor.',  'attributes': [, {'name': 'AFFECTS', 'value': 'Enemy Units'}, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0SLOW: 40% / 40% / 40% / 40%'}, , ]};4;{'name': 'COOLDOWN', 'value': '12'};{'name': 'MANA COST', 'value': '90/100/110/120'}
111;{'name': 'Kraken Shell', 'description': ''Thickens Tidehunter's hide to passively block a portion of any incoming physical attack damage. The hide also removes negative status effects if the damage taken crosses a threshold.\r\n\r\nDoes not stack with items that provide Damage Block.\r\n\r\nDISPEL TYPE: Strong Dispel'',  'attributes': [, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0'}, , ]};1;{'name': 'COOLDOWN', 'value': '0'};{'name': 'MANA COST', 'value': '0/0/0/0'}
112;{'name': 'Anchor Smash', 'description': 'Tidehunter swings his mighty anchor to attack and deal bonus damage to nearby enemies and reduce their attack damage.',  'attributes': [, {'name': 'DAMAGE TYPE', 'value': 'Physical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0ATTACK BONUS DAMAGE: 45 / 90 / 135 / 180'}, {'name': 'DURATION', 'value': '6 / 6 / 6 / 6'}, {'name': 'RADIUS', 'value': '375'}, , ]};3;{'name': 'COOLDOWN', 'value': '7/6/5/4'};{'name': 'MANA COST', 'value': '30/40/50/60'}
113;{'name': 'Ravage', 'description': 'Slams the ground, causing tentacles to erupt in all directions, damaging and stunning all nearby enemy units.',  'attributes': [, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '200 / 300 / 400RADIUS: 1250'}, {'name': 'DURATION', 'value': '2.4 / 2.6 / 2.8'}, , ]};3;{'name': 'COOLDOWN', 'value': '150'};{'name': 'MANA COST', 'value': '150/225/325'}
114;{'name': 'Paralyzing Cask', 'description': 'Launches a cask of paralyzing powder that ricochets between enemy units, stunning and damaging those it hits.',  'attributes': [, {'name': 'AFFECTS', 'value': 'Enemy Units'}, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '75 / 100 / 125 / 150HERO STUN DURATION: 1 / 1 / 1 / 1'}, {'name': 'CREEP STUN DURATION', 'value': '5 / 5 / 5 / 5'}, {'name': 'HERO DAMAGE', 'value': '50'}, , ]};4;{'name': 'COOLDOWN', 'value': '20/18/16/14'};{'name': 'MANA COST', 'value': '110/120/130/140'}
115;{'name': 'Voodoo Restoration', 'description': 'Witch Doctor focuses his magic to heal nearby allied units, costing Witch Doctor mana every second Voodoo restoration is active.',  'attributes': [, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'Yes'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0MANA PER SEC: 8 / 12 / 16 / 20'}, {'name': 'RADIUS', 'value': '500'}, {'name': 'HEAL', 'value': '16 / 24 / 32 / 40'}, , ]};8;{'name': 'COOLDOWN', 'value': '0'};{'name': 'MANA COST', 'value': '35/40/45/50'}
116;{'name': 'Maledict', 'description': 'Curses all enemy Heroes in a small area, causing them to take a set amount of damage each second, as well as bursts of damage every 4 seconds based on how much health they have lost since the curse began.',  'attributes': [, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '7 / 14 / 21 / 28RADIUS: 180'}, {'name': 'LOST HEALTH BURST DAMAGE', 'value': '16% / 24% / 32% / 40%'}, , ]};2;{'name': 'COOLDOWN', 'value': '30/26/22/18'};{'name': 'MANA COST', 'value': '105/110/115/120'}
117;{'name': 'Death Ward', 'description': ''CHANNELED - Summons a deadly ward to attack enemy heroes within it's attack range. Lasts a maximum of %abilitychanneltime% seconds.'',  'attributes': [, {'name': 'DAMAGE TYPE', 'value': 'Physical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'Yes'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0'}, , ]};11;{'name': 'COOLDOWN', 'value': '80'};{'name': 'MANA COST', 'value': '200/200/200'}
118;{'name': 'Frost Blast', 'description': 'Blasts the target enemy unit with damaging frost, dealing area damage and slowing movement and attack rates for %abilityduration% seconds.  The primary target receives both base and area damage.',  'attributes': [, {'name': 'AFFECTS', 'value': 'Enemy Units'}, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '50 / 100 / 150 / 200RADIUS: 200 / 200 / 200 / 200'}, {'name': 'MOVEMENT SLOW', 'value': '30%'}, {'name': 'ATTACK SLOW', 'value': '30'}, {'name': 'AREA DAMAGE', 'value': '75 / 100 / 125 / 150'}, , ]};4;{'name': 'COOLDOWN', 'value': '7'};{'name': 'MANA COST', 'value': '105/130/155/180'}
119;{'name': 'Frost Shield', 'description': 'Applies a magical frost shield around the target, reducing damage from attacks against you. While the shield is active, ice magic will affect nearby enemy units every 1 seconds, dealing minor damage and slowing them.',  'attributes': [, {'name': 'AFFECTS', 'value': 'Allied Units'}, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0SLOW: 20% / 25% / 30% / 35%'}, {'name': 'SLOW DURATION', 'value': '0.5'}, {'name': 'DAMAGE', 'value': '20 / 30 / 40 / 50'}, , ]};4;{'name': 'COOLDOWN', 'value': '30/25/20/15'};{'name': 'MANA COST', 'value': '100/110/120/130'}
120;{'name': 'Sinister Gaze', 'description': 'CHANNELED - Hypnotizes an enemy unit, causing it to move towards a point between the two of you and drains a percentage of its current mana.',  'attributes': [, {'name': 'AFFECTS', 'value': 'Enemy Units'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0DURATION: 1.6 / 1.9 / 2.2 / 2.5'}, {'name': 'DISTANCE MOVED', 'value': '32% / 38% / 44% / 50%'}, {'name': 'MANA DRAIN', 'value': '10% / 15% / 20% / 25%'}, , ]};5;{'name': 'COOLDOWN', 'value': '24/22/20/18'};{'name': 'MANA COST', 'value': '120/130/140/150'}
121;{'name': 'Chain Frost', 'description': ''Releases an orb of frost that bounces between nearby enemy units up to 10 times, slowing and damaging each time it hits. Each bounce increases the damage for the subsequent bounces. \r\n\r\nUpgradable by Aghanim's Scepter.'',  'attributes': [, {'name': 'AFFECTS', 'value': 'Enemy Units'}, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0DAMAGE EACH BOUNCE: 250 / 400 / 550'}, {'name': 'BOUNCES', 'value': '10 / 10 / 10'}, {'name': 'BOUNCE RANGE', 'value': '600'}, {'name': 'MOVEMENT SLOW', 'value': '65%'}, {'name': 'ATTACK SLOW', 'value': '65'}, {'name': 'SLOW DURATION', 'value': '2.5'}, {'name': 'INCREMENTAL DAMAGE', 'value': '15 / 20 / 25'}, , ]};4;{'name': 'COOLDOWN', 'value': '100/80/60'};{'name': 'MANA COST', 'value': '200/325/500'}
122;{'name': 'Smoke Screen', 'description': 'Throws down a smoke bomb, silencing enemies, and causing them to miss attacks.',  'attributes': [, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0RADIUS: 280 / 310 / 340 / 370'}, {'name': 'DURATION', 'value': '6'}, {'name': 'MISS RATE', 'value': '25% / 35% / 45% / 55%'}, , ]};2;{'name': 'COOLDOWN', 'value': '20/17/14/11'};{'name': 'MANA COST', 'value': '90'}
123;{'name': 'Blink Strike', 'description': 'Teleports behind the target unit, striking for bonus damage if it is an enemy.',  'attributes': [, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'Yes'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0BONUS DAMAGE: 25 / 50 / 75 / 100'}, {'name': 'CHARGES', 'value': '2'}, {'name': 'CHARGES REPLENISH TIME', 'value': '25 / 20 / 15 / 10'}, , ]};4;{'name': 'COOLDOWN', 'value': '0.10'};{'name': 'MANA COST', 'value': '50'}
124;{'name': 'Tricks of the Trade', 'description': 'Riki phases out of the world while striking randomy enemy units from behind in an area around him.',  'attributes': [, {'name': 'AFFECTS', 'value': 'Allied Heroes'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'Yes'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0ATTACK COUNT: 4'}, {'name': 'ATTACK DAMAGE', 'value': '70% / 80% / 90% / 100%'}, , ]};11;{'name': 'COOLDOWN', 'value': '21/18/15/12'};{'name': 'MANA COST', 'value': '50'}
125;{'name': 'Cloak and Dagger', 'description': 'Riki fades into the shadows, becoming invisible. Every time Riki strikes his enemy from behind, he deals bonus damage based on his Agility. When Riki attacks, he becomes visible.',  'attributes': [, {'name': 'DAMAGE TYPE', 'value': 'Physical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'Yes'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0FADE DELAY: 4 / 3 / 2'}, , ]};1;{'name': 'COOLDOWN', 'value': '0'};{'name': 'MANA COST', 'value': '0/0/0/0'}
126;{'name': 'Malefice', 'description': ''Focuses Enigma's power on a target, causing it to take damage and become repeatedly stunned for multiple instances.  An instance strikes every 2 seconds.'',  'attributes': [, {'name': 'AFFECTS', 'value': 'Enemy Units'}, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0STUN DURATION: 0.4 / 0.6 / 0.8 / 1'}, {'name': 'DAMAGE PER HIT', 'value': '30 / 50 / 70 / 90'}, , ]};4;{'name': 'COOLDOWN', 'value': '18/17/16/15'};{'name': 'MANA COST', 'value': '100/120/140/160'}
127;{'name': 'Demonic Conversion', 'description': ''Transforms a creep into three fragments of Enigma himself.  These eidolons are all under Enigma's control, and repeated successful attacks cause them to multiply.  When this happens, the eidolons have their health restored.'',  'attributes': [, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0ATTACKS TO MULTIPLY: 6 / 6 / 6 / 6'}, {'name': 'EIDOLON HP', 'value': '180 / 200 / 220 / 240'}, , ]};4;{'name': 'COOLDOWN', 'value': '35'};{'name': 'MANA COST', 'value': '140/150/160/170'}
128;{'name': 'Midnight Pulse', 'description': 'Steeps an area in dark resonance, damaging enemy units based on their max HP.',  'attributes': [, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'Yes'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0RADIUS: 550'}, {'name': 'DAMAGE PER SECOND', 'value': '4.75% / 5.5% / 6.25% / 7%'}, {'name': 'DURATION', 'value': '9 / 10 / 11 / 12'}, , ]};2;{'name': 'COOLDOWN', 'value': '50/45/40/35'};{'name': 'MANA COST', 'value': '50/80/110/140'}
129;{'name': 'Black Hole', 'description': 'CHANNELED - Summons a vortex that sucks in nearby enemy units.  Enemies affected by Black Hole cannot move, attack, or cast spells.',  'attributes': [, {'name': 'DAMAGE TYPE', 'value': 'Pure'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'Yes'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0DAMAGE PER SECOND: 50 / 100 / 150'}, {'name': 'RADIUS', 'value': '420'}, {'name': 'DURATION', 'value': '4 / 4 / 4'}, , ]};11;{'name': 'COOLDOWN', 'value': '200/180/160'};{'name': 'MANA COST', 'value': '300/400/500'}
130;{'name': 'Laser', 'description': ''Fires an intense energy beam, erasing the target's base magic resistance, dealing damage and blinding the target, causing it to miss all physical attacks.'',  'attributes': [, {'name': 'AFFECTS', 'value': 'Enemy Units'}, {'name': 'DAMAGE TYPE', 'value': 'Pure'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0BLIND MISS RATE: 100% / 100% / 100% / 100%'}, , ]};4;{'name': 'COOLDOWN', 'value': '20/18/16/14'};{'name': 'MANA COST', 'value': '110/130/150/170'}
131;{'name': 'Heat-Seeking Missile', 'description': 'Launches rockets at the nearest visible enemy heroes within 2500 range.',  'attributes': [, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0DAMAGE: 125 / 200 / 275 / 350'}, {'name': 'TARGETS', 'value': '2 / 2 / 2 / 2'}, {'name': 'MISSILE SPEED', 'value': '700'}, , ]};3;{'name': 'COOLDOWN', 'value': '18'};{'name': 'MANA COST', 'value': '80/100/120/140'}
132;{'name': 'March of the Machines', 'description': 'Enlists an army of robotic minions to destroy enemy units in an area around Tinker.',  'attributes': [, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'RADIUS', 'value': '900'}, {'name': 'DURATION', 'value': '6'}, , ]};2;{'name': 'COOLDOWN', 'value': '35'};{'name': 'MANA COST', 'value': '130/150/170/190'}
133;{'name': 'Rearm', 'description': ''CHANNELED - Resets the cooldown on most of Tinker's items and abilities.'',  'attributes': [, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0'}, , ]};6;{'name': 'COOLDOWN', 'value': '0'};{'name': 'MANA COST', 'value': '100/200/300'}
134;{'name': 'Shrapnel', 'description': 'Consumes a charge to launch a ball of shrapnel that showers the target area in explosive pellets. Enemies are subject to damage and slowed movement. Reveals the targeted area. Shrapnel charges restore every 40 seconds.',  'attributes': [, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0RADIUS: 450'}, {'name': 'DURATION', 'value': '10'}, ]};2;feels_bad_man;{'name': 'MANA COST', 'value': '50'}
